text,word_count,focus_word,predictability,field,category
"The generalization of this statement, namely that the laws of special relativity hold to good approximation in freely falling (and non-rotating) reference frames, is known as the Einstein equivalence principle, a crucial guiding principle for generalizing special-relativistic physics to include gravity.",41,relativity,0.8,physics,very_long
"At the same time Rubin and Ford were exploring optical rotation curves, radio astronomers were making use of new radio telescopes to map the 21 cm line of atomic hydrogen in nearby galaxies.",33,galaxies,0.7,physics,long
"Davy further claimed that elements that were then believed to be gases, such as nitrogen and hydrogen could be liquefied under the right conditions and would then behave as metals.",30,gases,1.25,physics,long
"These categories refer to velocity rather than an actual temperature, indicating how far corresponding objects moved due to random motions in the early universe, before they slowed due to cosmic expansion – this is an important distance called the free streaming length (FSL).",43,universe,0.6,physics,very_long
"The solution is an expanding universe; due to this expansion, the radiation and matter in the universe cool down and become diluted.",22,universe,0.9,physics,medium
"For example, in internal conversion decay, the energy from an excited nucleus may eject one of the inner orbital electrons from the atom, in a process which produces high speed electrons but is not beta decay and (unlike beta decay) does not transmute one element to another.",47,decay,1.15,physics,very_long
"Shortly after, in 1982, Horst Störmer and Daniel Tsui observed the fractional quantum Hall effect where the conductance was now a rational multiple of the constant .",27,effect,0.8,physics,medium
"They showed most galaxies must contain about six times as much dark as visible mass; thus, by around 1980 the apparent need for dark matter was widely recognized as a major unsolved problem in astronomy.",35,matter,1.25,physics,long
Subject history Modern cosmology developed along tandem tracks of theory and observation.,12,cosmology,1.35,physics,short
"For example, in the introduction to his 1947 book Kinetic Theory of Liquids, Yakov Frenkel proposed that ""The kinetic theory of liquids must accordingly be developed as a generalization and extension of the kinetic theory of solid bodies.",38,liquids,0.9,physics,long
"Primordial density fluctuations smaller than this length get washed out as particles spread from overdense to underdense regions, while larger fluctuations are unaffected; therefore this length sets a minimum scale for later structure formation.",34,fluctuations,0.8,physics,long
"The first is that, unlike planets orbiting a sun, electrons are charged particles.",13,electrons,1.25,physics,short
"Discovery of isotopes While experimenting with the products of radioactive decay, in 1913 radiochemist Frederick Soddy discovered that there appeared to be more than one element at each position on the periodic table.",33,isotopes,0.9,physics,long
"With the formation of neutral hydrogen, the cosmic microwave background was emitted.",12,emitted,0.7,physics,short
"The radial distribution of interstellar atomic hydrogen (H-I) often extends to much larger galactic radii than those accessible by optical studies, extending the sampling of rotation curves – and thus of the total mass distribution – to a new dynamical regime.",41,hydrogen,0.9,physics,long
"In 1972, David Rogstad and Seth Shostak published H-I rotation curves of five spirals mapped with the Owens Valley interferometer; the rotation curves of all five were very flat, suggesting very large values of mass-to-light ratio in the outer parts of their extended H-I disks.",45,rotation,1.25,physics,very_long
"Ancient Greek philosophers called these hypothetical ultimate particles of matter atomos, a word which meant ""uncut"".",16,particles,0.8,physics,short
"Proca's equations were known to Wolfgang Pauli who mentioned the equations in his Nobel address, and they were also known to Yukawa, Wentzel, Taketani, Sakata, Kemmer, Heitler, and Fröhlich who appreciated the content of Proca's equations for developing a theory of the atomic nuclei in Nuclear Physics.",47,equations,0.9,physics,very_long
"In 1879, Edwin Herbert Hall working at the Johns Hopkins University discovered a voltage developed across conductors transverse to an electric current in the conductor and magnetic field perpendicular to the current.",32,voltage,1.15,physics,long
"The orbitals come in a variety of shapes—sphere, dumbbell, torus, etc.—with the nucleus in the middle.",16,nucleus,1.25,physics,short
